15498;MFSAFR21XXX;MAN FINANCIAL SERVICES SAS
15518;IGREFRP1XXX;ING REAL ESTATE FINANCE FRANCE
15519;CMCIFR2ACMO;CAISSE FEDER CIT MUT OCEAN
15548;PRROFR21XXX;PRIORIS
15568;CRFFFRP1XXX;CREDIT LIFT
15573;AXEEFRP1XXX;AXA EPARGNE ENTREPRISE
15589;CMBRFR2BXXX;CREDIT MUTUEL ARKEA
15590;FCFSFRP1XXX;FORTIS COMMERCIAL FINANCE S A S
15607;CCBPFRPPNCE;BANQUE POPULAIRE COTE D AZUR
15608;PHNEFRP1XXX;PNB EUROPE PLC
15610;SGFAGPG1XXX;STE AN DE GESTION ET FINANCEMENT-SAGEFI
15628;MICSFR21XXX;CHEBANCA SPA
15629;CMCIFR2ACMN;CAISSE FEDERALE CIT MUTUEL NORD EUROPE
15638;BACAMCMCXXX;ANDBANC MONACO SAM
15648;DLFSFR21;DEUTSCHE LEASING FRANCE
15658;MOFAFRP1XXX;MONEYGRAM FRANCE
15668;BPCDFRP1XXX;BNP PARIBAS HOME LOAN SFH
15673;AGRIFRPP907;CREDIT AGRICOLE TITRES
15708;RIFRFR21XXX;RIA FRANCE
15728;SEFAFR21XXX;SEFIA
15818;BIKCFRP1XXX;BINCKBANK NV
15829;CMCIFR2AANG;CAISSE FEDER CIT MUT D ANJOU
15843;HLHZFRP1XXX;HOULIHAN LOKEY (EUROPE) LIMITED
15848;CMCIFRP1COV;CREDIT MUTUEL CIC HOME LOAN SFH
15858;COEFFRP1XXX;SIGUE GLOBAL SERVICES
15868;SXFRFRP1;SAXO BANQUE (FRANCE)
15898;CAODFRP1;CREDIT AGRICOLE HOME LOAN SFH
15900;FEFIFR21XXX;FEDERAL FINANCE
15908;ROYCGB22;RBC EUROPE LIMITED
15920;MRLAFRP1XXX;MERRILL LYNCH CAPITAL MARKETS(FRANCE)SAS
15930;NATXFRPPPAI;NATIXIS PAIEMENTS
15958;BPCBFRP1XXX;BANQUES POPULAIRES COVERED BONDS
15960;MAFIFRP1XXX;MACSF FINANCEMENT
15970;BATLFR21XXX;BAIL ACTEA
15980;BAEPFR21XXX;ARKEA CREDIT BAIL
15998;GCEUFR21XXX;GCE COVERED BONDS
16000;DIACFR21XXX;DIAC
16006;AGRIFRPP860;CREDIT AGRICOLE DU MORBIHAN
16020;BATMFRP1XXX;BATIMAP
16030;IBFFFR21XXX;IBM FRANCE FINANCEMENT
16038;HAVLMCMXXXX;BANQUE HAVILLAND (MONACO)
16048;ECOCFRPP;EBI SA
16050;BAOIFR21XXX;BATI LEASE
16073;CMCIFRP1EPS;CM CIC EPARGNE SALARIALE
16078;BNPAFRPPPBQ;BNP PARIBAS PUBLIC SECTOR SCF
16088;CMBRFR2BARK;CREDIT MUTUEL ARKEA HOME LOANS SFH
16100;CCMUFR21XXX;CSSE CIT MUNICIPAL DE ROUEN
16106;AGRIFRPP861;CREDIT AGRICOLE DE LORRAINE
16130;SIRCFR21XXX;S I R C A M
16133;BMEUFRP1;BMCE EUROSERVICES
16158;BGFIFRPPXXX;BGFI INTERNATIONAL
16159;CMCIMQM1XXX;C F C M A G
16160;AACBFR21XXX;ALSABAIL ALSACIENNE DE CIT BAIL IMMOB
16168;AFRIFRPP;BOA FRANCE
16170;CMUBFR21XXX;CSSE CIT MUNICIPAL DE BOULOGNE SUR MER
16178;BPFIFRP1XXX;LA BANQUE POSTALE FINANCEMENT
16180;BAOEFR21XXX;BATIROC NORMANDIE
16188;BPCEFRPPXXX;BPCE
16190;FRUTFRP1XXX;NATIXIS LEASE IMMO
16198;EFGBFRPP;EFG BANQUE PRIVEE
16200;CCUIFR21XXX;CSSE CIT MUNICIPAL DE NICE
16218;BFBKFRP1XXX;BFORBANK
16243;GFIGFRP1XXX;GFI SECURITIES LIMITED
16253;ORFIFRP1XXX;ORIENT FINANCE
16270;CONGFR21XXX;COMPTOIR FIR DE GARANTIE C F G
16273;FEPSFRP1XXX;FEDERIS EPARGNE SALARIALE
16275;CEPAFRPP627;CAISSE D EPARGNE NORD FRANCE EUROPE
16278;NAMIFRP1XXX;NATIXIS ASSET MANAGEMENT FINANCE
16288;AQOBFRP1XXX;AQOBA EP
16298;CMBRFR2BPBS;ARKEA BANKING SERVICES
16338;AFOPFR21XXX;AFONE PAIEMENT
16348;SLMPFRP1;SLIMPAY SA
16373;PEGSFR21XXX;PRADO EPARGNE
16418;TFRSFRP1;TEMPO FRANCE
16428;BUYSFRP1;BUYSTER
16443;ECFSFRP1;EUROPEAN CAPITAL FINANCIAL SERVICES LTD
16473;REGRFRP1XXX;REGARDBTP
16498;COLQFR21;C2A COMPAGNIE DE L ARC ATLANTIQUE
16518;FDFRFR22;FDI FRANCE
16548;CMCIMCM1BEC;BANQUE EUROPEENNE CREDIT MUTUEL MONACO
16558;GROTFRP1;OPS
16560;CCMOFR21XXX;CSSE CIT MUNICIPAL DE BORDEAUX
16588;SFILFRPP;SOCIETE DE FINANCEMENT LOCAL
16598;FPELFR21;COMPTE NICKEL
16600;CCTCNCN1XXX;CREDICAL
16606;AGRIFRPP866;CREDIT AGRICOLE DE NORMANDIE
16607;CCBPFRPPPPG;BANQUE POPULAIRE DU SUD
16628;COUTMCM1XXX;COUTTS & CO LTD SUCCURSALE DE MONACO
16640;CRFLFR21XXX;CREDIT FINANCIER LILLOIS
16643;BLIAFR21XXX;BLACKROCK INVESTMENT MANAGEMENT UK LTD
16673;FOGFFRP1XXX;FONGEPAR
16700;CICAFRP1XXX;CICOBAIL
16705;CEPAFRPP670;CAISSE D EPARGNE D ALSACE
16706;AGRIFRPP867;CREDIT AGRICOLE NORD DE FRANCE
16707;CCBPFRPPREN;BANQUE POPULAIRE DE L OUEST
16760;FRANFR21;FRANFINANCE
16780;NAFNFRP1XXX;NATIXIS FUNDING
16806;AGRIFRPP868;CREDIT AGRICOLE CENTRE FRANCE
16807;CCBPFRPPGRE;BANQUE POPULAIRE DES ALPES
16820;AECFFR21XXX;AMERICAN EXPRESS CARTE FRANCE
16839;FINFFR21XXX;FINANCO
16840;BPGEMCMCXXX;BANQUE PASCHE (MONACO)
16843;KGLMFRP1XXX;THE KYTE GROUP LIMITED
16850;AGRIFRP1EFG;EUROFACTOR
